	SLA0109	SLA0110	SLA0210	SLA0514	SLA1213	SLA1812	SLA2014	SLA2311	SLA2411	SLA2710	SLA3014	SLA3311	SLA3315	SLA615	SLA715
ENSG00000006831	723	831	932	692	657	773	361	533	520	406	137	772	722	304	337
ENSG00000006837	14	14	21	26	29	7	0	16	9	4	2	26	23	15	6
ENSG00000007001	4	0	2	2	3	1	0	0	1	4	2	0	4	0	0
ENSG00000007038	0	38	33	52	37	13	4	31	2	16	0	25	2	14	0
ENSG00000007047	396	457	538	362	501	531	249	360	296	250	103	473	259	86	198
ENSG00000007062	2	14	5	22	3	8	4	5	13	4	6	2	0	0	2
ENSG00000007080	126	250	272	160	239	188	109	145	128	120	48	223	57	27	63
ENSG00000007129	190	220	178	81	255	209	107	137	147	94	27	233	137	91	116
ENSG00000007168	3194	2855	3692	3230	3087	3686	1739	2251	2302	1652	462	3315	2749	1202	1233
ENSG00000007171	0	0	0	6	2	0	0	2	0	2	0	2	0	0	1
ENSG00000007174	8	6	2	25	12	11	0	10	4	19	0	10	7	9	6
ENSG00000007202	2414	3413	3506	3121	3075	3581	1383	2368	2519	1726	635	3285	2041	1238	1528
ENSG00000007216	0	0	0	3	0	0	0	0	0	2	0	0	4	0	0
ENSG00000007237	1962	3116	3686	3512	2205	4447	918	1964	2142	1065	579	2245	1500	649	1240
ENSG00000007255	58	72	81	30	102	71	22	49	27	38	10	77	69	22	49
ENSG00000007264	277	236	524	196	474	284	157	195	186	332	158	453	276	102	184
ENSG00000007306	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	56	282	105	38	92	93	58	81	32	66	19	64	65	54	76
ENSG00000007314	4	9	15	19	3	0	4	8	0	11	0	2	2	6	4
ENSG00000007341	271	378	462	379	375	505	251	246	280	182	52	419	268	137	145
ENSG00000007350	16	72	18	77	38	53	18	193	34	46	14	54	73	23	8
ENSG00000007372	22	1	16	44	9	20	8	6	4	10	1	4	6	2	5
ENSG00000007376	89	195	133	86	143	130	63	106	65	80	34	110	114	20	161
ENSG00000007384	4	0	7	14	6	2	8	2	4	6	0	6	2	0	0
ENSG00000007392	1263	1444	2329	2232	2074	1978	1299	1395	1325	1080	282	1871	1457	779	693
ENSG00000007402	291	221	816	282	359	331	110	267	201	326	101	703	279	97	139
ENSG00000007516	117	66	205	108	183	86	180	97	38	115	35	126	77	86	144
ENSG00000007520	74	143	124	71	178	124	80	93	68	59	22	120	47	19	38
ENSG00000007541	177	158	114	107	189	164	84	112	82	69	44	142	127	72	187
ENSG00000007545	196	176	262	155	282	311	129	183	225	170	26	239	196	106	122
ENSG00000007866	2	0	10	4	8	8	7	6	2	7	0	9	14	2	2
ENSG00000007908	2	8	12	2	2	4	2	2	2	2	4	8	19	4	2
ENSG00000007923	323	382	511	403	483	468	242	369	338	314	81	564	303	187	233
ENSG00000007933	0	9	8	13	13	5	5	0	5	6	1	9	8	24	2
ENSG00000007944	609	791	982	533	705	727	749	791	386	409	157	902	602	183	285
ENSG00000007952	20	4	2	8	8	0	0	2	0	6	0	1	0	0	0
ENSG00000007968	153	194	118	146	147	145	71	124	111	74	26	110	80	42	61
ENSG00000008018	695	640	971	875	673	682	320	501	403	353	76	695	478	135	218
ENSG00000008056	10	17	54	41	21	35	16	19	11	30	6	44	3	4	4
ENSG00000008083	1818	2651	3560	3656	2694	3578	1785	2805	2456	1770	512	2914	1712	686	1159
ENSG00000008086	305	466	347	442	365	315	143	221	209	129	33	268	312	87	139
ENSG00000008118	0	0	0	1	0	1	0	5	1	0	0	0	0	0	0
ENSG00000008128	68	94	142	74	114	113	53	103	56	62	37	115	71	18	34
ENSG00000008130	1145	1211	1195	893	1137	1574	948	1331	999	528	285	1283	970	380	797
ENSG00000008196	4	0	0	10	0	0	0	4	0	12	0	3	0	0	0
ENSG00000008197	0	0	0	7	2	0	0	0	0	6	0	2	0	0	0
ENSG00000008226	209	183	319	145	317	289	89	197	120	185	52	288	210	119	143
ENSG00000008256	180	236	464	269	478	247	159	212	167	174	61	243	153	90	171
ENSG00000008277	265	304	376	335	288	255	91	229	154	189	66	270	258	100	69
ENSG00000008282	618	934	707	648	552	692	283	503	434	215	91	514	447	149	177
ENSG00000008283	259	141	309	268	362	158	136	196	75	173	34	384	202	142	165
ENSG00000008294	1816	1848	2792	2931	2138	2552	1971	1892	1436	1144	454	2144	1638	804	810
ENSG00000008300	65	87	127	120	150	114	56	74	44	67	42	174	109	55	96
ENSG00000008311	241	239	225	188	190	202	107	208	64	109	38	130	210	79	57
ENSG00000008323	36	97	41	29	54	39	11	26	29	17	8	37	50	23	41
ENSG00000008324	79	74	113	99	93	59	23	37	49	22	9	85	74	40	51
